Journal Name (Title Case),disc_id,subd_id
"2008 5Th Ieee International Symposium On Biomedical Imaging: From Nano To Macro, Proceedings, Isbi",7,450
Acta Neuropathologica,8,445
Advanced Imaging,4,344
Ajnr American Journal Of Neuroradiology,8,452
Alzheimer Disease And Associated Disorders,8,247
Alzheimer'S And Dementia,8,247
American Journal Of Alzheimers Disease And Other Dementias,12,154
American Journal Of Geriatric Psychiatry,8,247
American Journal Of Psychiatry,8,150
Amia  Annual Symposium Proceedings [Electronic Resource] / Amia Symposium Amia Symposium,12,93
Anatomical Record,3,31
Anesthesiology,3,7
Annals Of Epidemiology,12,311
Annals Of Neurology,8,445
Annals Of Nuclear Medicine,3,184
Annals Of The New York Academy Of Sciences,3,262
Annals Of The New York Academy Of Sciences,8,6
Annals Of The New York Academy Of Sciences,10,9
Archives Of General Psychiatry,8,150
Archives Of Neurology,8,63
Asian Biomedicine,3,41
Behavioural Neurology,8,412
Biochimica Et Biophysica Acta - Molecular Basis Of Disease,8,445
Bioinformatics,2,146
Biological Psychiatry,8,150
Biometrics,13,99
Bmc Medical Imaging,8,28
Bmc Medicine,12,425
Bmc Neurology,8,63
Brain,8,63
Brain Imaging And Behavior,8,215
Brain Research,8,6
Brain Topography,8,40
British Journal Of Clinical Pharmacology,12,402
Cell Biochemistry And Biophysics,2,4
Cerebral Cortex,8,40
Chang Gung Medical Journal,12,68
Clinical Neurology,8,63
Clinical Pharmacology And Therapeutics,12,402
Cns And Neurological Disorders - Drug Targets,8,6
Computer Methods And Programs In Biomedicine,7,3
Contemporary Clinical Trials,13,99
Current Alzheimer Research,8,445
Current Opinion In Neurology,8,445
Dementia And Geriatric Cognitive Disorders,8,247
Dialogues In Clinical Neuroscience,8,150
Drugs & Aging,8,174
European Archives Of Psychiatry And Clinical Neuroscience,8,150
European Journal Of Nuclear Medicine,3,184
European Journal Of Pharmaceutics And Biopharmaceutics,5,37
European Radiology,8,28
Experimental Gerontology,12,402
Expert Opinion On Drug Discovery,10,523
Expert Opinion On Investigational Drugs,3,422
Expert Systems With Applications,7,3
Future Neurology,8,6
Genomics,10,424
Hippocampus,8,69
Human Brain Mapping,8,40
Human Genetics,3,81
Human Heredity,3,81
Human Molecular Genetics,3,81
Ieee Nuclear Science Symposium Conference Record,11,229
