FACTID|PMID
WOS:A1976CP17000008|MEDLINE:1000001
WOS:A1976CP17000010|MEDLINE:1000003
WOS:A1976CP17000012|MEDLINE:1000005
WOS:A1976CP17000014|MEDLINE:1000007
WOS:A1976CP17000016|MEDLINE:1000009
WOS:A1978FS77900015|MEDLINE:100001
WOS:A1976CP17000018|MEDLINE:1000010
WOS:A1976CR07200001|MEDLINE:1000012
WOS:A1976CR07200003|MEDLINE:1000014
WOS:A1976CM49800001|MEDLINE:1000016
WOS:A1976CM49800010|MEDLINE:1000018
WOS:A1976BQ50600001|MEDLINE:1000021
WOS:A1976BQ50600006|MEDLINE:1000023
WOS:A1976BY10700001|MEDLINE:1000025
WOS:A1976BY10700006|MEDLINE:1000027
WOS:A1976BY10700010|MEDLINE:1000029
WOS:A1978FH04500020|MEDLINE:100003
WOS:A1976BY10700011|MEDLINE:1000030
WOS:A1976CJ83400004|MEDLINE:1000032
WOS:A1976CJ83400012|MEDLINE:1000034
WOS:A1976CQ38400001|MEDLINE:1000036
WOS:A1976CQ38400006|MEDLINE:1000038
WOS:A1976CQ38400011|MEDLINE:1000041
WOS:A1976CQ38400013|MEDLINE:1000043
WOS:A1976CQ80800002|MEDLINE:1000045
WOS:A1976CQ80800004|MEDLINE:1000047
WOS:A1976CQ80800006|MEDLINE:1000049
WOS:A1978FL29600021|MEDLINE:100005
WOS:A1976CQ80800008|MEDLINE:1000050
WOS:A1976CQ80800010|MEDLINE:1000052
WOS:A1976CQ80800012|MEDLINE:1000054
WOS:A1976CP02400003|MEDLINE:1000056
WOS:A1976CP02400005|MEDLINE:1000058
WOS:A1976CP02400012|MEDLINE:1000061
WOS:A1976CM69400013|MEDLINE:1000063
WOS:A1976CM69400017|MEDLINE:1000067
WOS:A1976CM69400019|MEDLINE:1000069
WOS:A1978FP40500005|MEDLINE:100007
WOS:A1976CM69400021|MEDLINE:1000070
WOS:A1976CM69400023|MEDLINE:1000072
WOS:A1976CM69400025|MEDLINE:1000074
WOS:A1976CM69400010|MEDLINE:1000076
WOS:A1976CM16700002|MEDLINE:1000078
WOS:A1976CM16700006|MEDLINE:1000081
WOS:A1976CN26900005|MEDLINE:1000083
WOS:A1976CN26900013|MEDLINE:1000085
WOS:A1976CR56300003|MEDLINE:1000087
WOS:A1976CH44000003|MEDLINE:1000089
WOS:A1978FP40500023|MEDLINE:100009
WOS:A1976CH44000004|MEDLINE:1000090
WOS:A1976CH44000013|MEDLINE:1000092
WOS:A1976CH04400031|MEDLINE:10001
WOS:A1978FP40500030|MEDLINE:100010
WOS:A1976CL88500004|MEDLINE:1000111
WOS:A1976CL88500006|MEDLINE:1000113
WOS:A1976CL88500011|MEDLINE:1000115
WOS:A1976CL88500013|MEDLINE:1000117
WOS:A1976CL88500015|MEDLINE:1000119
WOS:A1978FR16700008|MEDLINE:100012
WOS:A1976CL88500017|MEDLINE:1000120
WOS:A1976CL88500021|MEDLINE:1000122
WOS:A1976CL88500023|MEDLINE:1000124
WOS:A1976CL88500026|MEDLINE:1000126
WOS:A1976CP31200004|MEDLINE:1000128
WOS:A1976CP31200008|MEDLINE:1000131
WOS:A1976CP31200012|MEDLINE:1000133
WOS:A1976CP31200019|MEDLINE:1000135
WOS:A1976CN36000003|MEDLINE:1000137
WOS:A1976CN36000005|MEDLINE:1000139
WOS:A1978FR16700047|MEDLINE:100014
WOS:A1976CN36000006|MEDLINE:1000140
WOS:A1976CN36000008|MEDLINE:1000142
WOS:A1976CN36000010|MEDLINE:1000144
WOS:A1976CQ27100008|MEDLINE:1000148
WOS:A1976CQ27100011|MEDLINE:1000151
WOS:A1976CQ35700003|MEDLINE:1000153
WOS:A1978FT57500002|MEDLINE:100016
WOS:A1976CN85700005|MEDLINE:1000168
WOS:A1976CN85700008|MEDLINE:1000171
WOS:A1976CN85700012|MEDLINE:1000173
WOS:A1976CN85700015|MEDLINE:1000175
WOS:A1976CM41300001|MEDLINE:1000177
WOS:A1976CM41300003|MEDLINE:1000179
WOS:A1978FT57500046|MEDLINE:100018
WOS:A1976CM41300004|MEDLINE:1000180
WOS:A1976CM41300006|MEDLINE:1000182
WOS:A1976CM41300008|MEDLINE:1000184
WOS:A1976CM41300011|MEDLINE:1000186
WOS:A1976CM41300013|MEDLINE:1000188
WOS:A1976CM20900004|MEDLINE:1000191
WOS:A1976CM20900009|MEDLINE:1000195
WOS:A1976CM20900012|MEDLINE:1000197
WOS:A1976CM20900021|MEDLINE:1000199
WOS:A1976CM20900023|MEDLINE:1000201
WOS:A1976CM20900025|MEDLINE:1000203
WOS:A1976CM20900027|MEDLINE:1000205
WOS:A1976CM20900030|MEDLINE:1000207
WOS:A1976CM20900032|MEDLINE:1000209
WOS:A1978FM13600008|MEDLINE:100021
WOS:A1976CM20900036|MEDLINE:1000210
